"","event","secondary_type","event_team","event_team_type","description","period","period_seconds","home_score","away_score","event_player_1_name","event_player_2_name","strength_state","strength_code","event_idx","x","y","x_fixed","y_fixed","shot_distance","shot_angle","game_id","event_player_1_id","event_player_2_id","event_player_2_link","period_type","event_team_id","event_team_abbr","home_final","away_final","season","venue_name","home_abbreviation","away_abbreviation","home_goalie","away_goalie"
"1","Goal","Penalty Shot","Atlanta Thrashers","home","Evander Kane (2) Wrist Shot, assists: none",2,1134,3,1,"Evander.Kane","Michal.Neuvirth","5v5","EV","0398",-78,-1,78,1,11,5.2,2010020011,8475169,8473607,"/api/v1/people/8473607","REGULAR",11,"ATL",4,2,"20102011","Philips Arena","ATL","WSH","Chris.Mason","Michal.Neuvirth"
"2","Shot","Penalty Shot","New York Rangers","away","Marian Gaborik Wrist Shot saved by Rick DiPietro",1,668,0,0,"Marian.Gaborik","Rick.DiPietro","4v4","EV","0112",77,-1,-77,1,12,4.8,2010020028,8468483,8468481,"/api/v1/people/8468481","REGULAR",3,"NYR",6,4,"20102011","Nassau Coliseum","NYI","NYR","Rick.DiPietro","Henrik.Lundqvist"
"3","Missed Shot","Penalty Shot","Pittsburgh Penguins","home","Evgeni Malkin - Wide of Net",2,1083,2,4,"Evgeni.Malkin",NA,"5v5","EV","0350",-75,4,75,-4,14.6,15.9,2010020039,8471215,NA,NA,"REGULAR",5,"PIT",3,4,"20102011","CONSOL Energy Center","PIT","TOR","Marc.Andre.Fleury","Jonas.Gustavsson"
"4","Shot","Penalty Shot","Montréal Canadiens","home","Benoit Pouliot Wrist Shot saved by Dwayne Roloson",3,431,4,2,"Benoit.Pouliot","Dwayne.Roloson","5v5","EV","0461",-71,4,71,-4,18.4,12.5,2010020125,8471678,8460806,"/api/v1/people/8460806","REGULAR",8,"MTL",5,3,"20102011","Centre Bell","MTL","NYI","Carey.Price","Dwayne.Roloson"
"5","Shot","Penalty Shot","Tampa Bay Lightning","home","Sean Bergenheim Wrist Shot saved by Marc-Andre Fleury",2,831,3,3,"Sean.Bergenheim","Marc.Andre.Fleury","4v5","SH","0319",-63,2,63,-2,26.1,4.4,2010020126,8470176,8470594,"/api/v1/people/8470594","REGULAR",14,"TBL",5,3,"20102011","St. Pete Times Forum","TBL","PIT","Dan.Ellis","Marc.Andre.Fleury"
"6","Goal","Penalty Shot","New York Rangers","away","Ryan Callahan (4) Wrist Shot, assists: none",2,1115,0,2,"Ryan.Callahan","Jean.Sebastien.Giguere","5v5","EV","0395",-80,4,-80,4,9.8,24,2010020143,8471339,8462044,"/api/v1/people/8462044","REGULAR",3,"NYR",0,2,"20102011","Air Canada Centre","TOR","NYR","Jean.Sebastien.Giguere","Henrik.Lundqvist"
"7","Goal","Penalty Shot","Florida Panthers","away","David Booth (4) Wrist Shot, assists: none",2,679,1,2,"David.Booth","Carey.Price","5v4","PP","0310",-75,-2,-75,-2,14.1,8.1,2010020144,8471266,8471679,"/api/v1/people/8471679","REGULAR",13,"FLA",1,3,"20102011","Centre Bell","MTL","FLA","Carey.Price","Tomas.Vokoun"
"8","Goal","Penalty Shot","New York Islanders","away","Frans Nielsen (2) Backhand, assists: none",2,489,4,1,"Frans.Nielsen","Sergei.Bobrovsky","3v5","SH","0284",-83,3,-83,3,6.7,26.6,2010020146,8470144,8475683,"/api/v1/people/8475683","REGULAR",2,"NYI",6,1,"20102011","Wells Fargo Center","PHI","NYI","Sergei.Bobrovsky","Rick.DiPietro"
"9","Goal","Penalty Shot","Washington Capitals","away","David Steckel (1) Snap Shot, assists: none",2,1103,2,7,"David.Steckel","Henrik.Karlsson","4v5","SH","0437",-76,2,-76,2,13.2,8.7,2010020154,8469483,8475431,"/api/v1/people/8475431","REGULAR",15,"WSH",2,7,"20102011","Scotiabank Saddledome","CGY","WSH","Henrik.Karlsson","Michal.Neuvirth"
"10","Goal","Penalty Shot","Vancouver Canucks","home","Henrik Sedin (1) Backhand, assists: none",3,823,3,0,"Henrik.Sedin","Martin.Brodeur","5v5","EV","0529",75,-1,75,-1,14,4.1,2010020159,8467876,8455710,"/api/v1/people/8455710","REGULAR",23,"VAN",3,0,"20102011","Rogers Arena","VAN","NJD","Roberto.Luongo","Martin.Brodeur"
"11","Goal","Penalty Shot","Ottawa Senators","away","Mike Fisher (4) Wrist Shot, assists: none",1,1026,0,1,"Mike.Fisher","Jean.Sebastien.Giguere","5v5","EV","0191",57,4,-57,-4,32.2,7.1,2010020160,8467370,8462044,"/api/v1/people/8462044","REGULAR",9,"OTT",2,3,"20102011","Air Canada Centre","TOR","OTT","Jean.Sebastien.Giguere","Brian.Elliott"
"12","Goal","Penalty Shot","Dallas Stars","home","Loui Eriksson (6) Backhand, assists: none",2,711,4,1,"Loui.Eriksson","Brent.Johnson","5v5","EV","0345",85,-2,85,-2,4.5,26.6,2010020169,8470626,8462161,"/api/v1/people/8462161","REGULAR",25,"DAL",5,2,"20102011","American Airlines Center","DAL","PIT","Kari.Lehtonen","Brent.Johnson"
"13","Missed Shot","Penalty Shot","Detroit Red Wings","home","Mike Modano - Wide of Net",2,322,4,0,"Mike.Modano",NA,"5v5","EV","0253",79,-1,79,-1,10,5.7,2010020222,8449645,NA,NA,"REGULAR",17,"DET",6,2,"20102011","Joe Louis Arena","DET","EDM","Jimmy.Howard","Nikolai.Khabibulin"
"14","Shot","Penalty Shot","Dallas Stars","away","Jamie Benn Wrist Shot saved by Jonas Hiller",3,604,3,1,"Jamie.Benn","Jonas.Hiller","5v5","EV","0458",-79,-4,-79,-4,10.8,21.8,2010020232,8473994,8473972,"/api/v1/people/8473972","REGULAR",25,"DAL",4,2,"20102011","Honda Center","ANA","DAL","Jonas.Hiller","Kari.Lehtonen"
"15","Goal","Penalty Shot","New Jersey Devils","home","Mattias Tedenby (3) Backhand, assists: none",1,1094,3,0,"Mattias.Tedenby","Braden.Holtby","5v5","EV","0178",76,1,76,1,13,4.4,2010020299,8474582,8474651,"/api/v1/people/8474651","REGULAR",1,"NJD",5,0,"20102011","Prudential Center","NJD","WSH","Johan.Hedberg","Braden.Holtby"
"16","Shot","Penalty Shot","Columbus Blue Jackets","home","Jared Boll Wrist Shot saved by Jimmy Howard",2,533,0,1,"Jared.Boll","Jimmy.Howard","5v5","EV","0292",-79,1,79,-1,10,5.7,2010020328,8471766,8470657,"/api/v1/people/8470657","REGULAR",29,"CBJ",1,2,"20102011","Nationwide Arena","CBJ","DET","Steve.Mason","Jimmy.Howard"
"17","Shot","Penalty Shot","Pittsburgh Penguins","home","Sidney Crosby Backhand saved by Miikka Kiprusoff",1,254,0,0,"Sidney.Crosby","Miikka.Kiprusoff","5v5","EV","0044",81,-6,81,-6,10,36.9,2010020335,8471675,8462147,"/api/v1/people/8462147","REGULAR",5,"PIT",4,1,"20102011","CONSOL Energy Center","PIT","CGY","Brent.Johnson","Miikka.Kiprusoff"
"18","Goal","Penalty Shot","Florida Panthers","away","Radek Dvorak (5) Wrist Shot, assists: none",2,742,2,1,"Radek.Dvorak","Dan.Ellis","4v5","SH","0309",73,-8,-73,8,17.9,26.6,2010020338,8462041,8468540,"/api/v1/people/8468540","REGULAR",13,"FLA",3,3,"20102011","St. Pete Times Forum","TBL","FLA","Dan.Ellis","Tomas.Vokoun"
"19","Shot","Penalty Shot","Philadelphia Flyers","home","Scott Hartnell Backhand saved by Tim Thomas",2,1040,0,2,"Scott.Hartnell","Tim.Thomas","4v5","SH","0388",73,1,73,1,16,3.6,2010020359,8468486,8460703,"/api/v1/people/8460703","REGULAR",4,"PHI",0,3,"20102011","Wells Fargo Center","PHI","BOS","Sergei.Bobrovsky","Tim.Thomas"
"20","Shot","Penalty Shot","Montréal Canadiens","away","Tomas Plekanec Backhand saved by Mike McKenna",1,447,0,2,"Tomas.Plekanec","Mike.McKenna","5v5","EV","0074",-79,1,-79,1,10,5.7,2010020367,8469521,8470093,"/api/v1/people/8470093","REGULAR",8,"MTL",1,5,"20102011","Prudential Center","NJD","MTL","Mike.McKenna","Carey.Price"
"21","Goal","Penalty Shot","New York Islanders","away","Frans Nielsen (4) Backhand, assists: none",2,221,1,1,"Frans.Nielsen","Tuukka.Rask","4v5","SH","0243",82,-1,-82,1,7.1,8.1,2010020411,8470144,8471695,"/api/v1/people/8471695","REGULAR",2,"NYI",5,2,"20102011","TD Garden","BOS","NYI","Tuukka.Rask","Rick.DiPietro"
"22","Shot","Penalty Shot","Edmonton Oilers","home","Magnus Paajarvi Backhand saved by Roberto Luongo",1,433,0,1,"Magnus.Paajarvi","Roberto.Luongo","5v5","EV","0082",-74,2,74,-2,15.1,7.6,2010020439,8475175,8466141,"/api/v1/people/8466141","REGULAR",22,"EDM",1,2,"20102011","Rexall Place","EDM","VAN","Devan.Dubnyk","Roberto.Luongo"
"23","Goal","Penalty Shot","Anaheim Ducks","home","Corey Perry (15) Wrist Shot, assists: none",2,859,4,2,"Corey.Perry","Niklas.Backstrom","4v5","SH","0312",-68,-5,68,5,21.6,13.4,2010020440,8470621,8473404,"/api/v1/people/8473404","REGULAR",24,"ANA",6,2,"20102011","Honda Center","ANA","MIN","Jonas.Hiller","Niklas.Backstrom"
"24","Goal","Penalty Shot","Ottawa Senators","home","Jason Spezza (8) Snap Shot, assists: none",3,443,3,3,"Jason.Spezza","Ondrej.Pavelec","5v5","EV","0473",60,2,60,2,29.1,3.9,2010020442,8469455,8471715,"/api/v1/people/8471715","REGULAR",9,"OTT",3,4,"20102011","Scotiabank Place","OTT","ATL","Brian.Elliott","Ondrej.Pavelec"
"25","Goal","Penalty Shot","Montréal Canadiens","home","Michael Cammalleri (11) Wrist Shot, assists: none",1,64,1,0,"Michael.Cammalleri","Tim.Thomas","4v5","SH","0014",-79,-5,79,5,11.2,26.6,2010020463,8469500,8460703,"/api/v1/people/8460703","REGULAR",8,"MTL",4,3,"20102011","Centre Bell","MTL","BOS","Carey.Price","Tim.Thomas"
